MissionId,MissionType,Theme,StartMission,NextMissionId,MissionCategory,TargetId,CompleteTimes,RewardType,RewardAmount,Icon
97013005,1,3,0,0,1,403202,1,Money,5000,Money.png
97013006,1,3,0,0,2,303001,1,Money,5500,Money.png
97013007,1,3,0,0,3,303001,20,Gold,50,Gold.png
97013008,1,3,0,0,5,103101,1,Money,90000,Money.png
97013009,1,3,0,0,5,103201,1,Money,90000,Money.png
97013010,1,3,0,0,5,103301,1,Money,90000,Money.png
97013011,1,3,0,0,6,950101,1,AdBlockTicket,1,AdBlockTicket.png
97013012,1,3,0,0,7,403101,1,Money,15000,Money.png
97013013,1,3,0,0,7,403202,1,Money,18000,Money.png
97013014,1,3,0,0,4,303001,1,Money,42000,Money.png
97013015,1,3,0,0,1,403209,1,Money,182500,Money.png
97013016,1,3,0,0,2,303003,1,Money,25000,Money.png
97013017,1,3,0,0,3,303003,20,Gold,50,Gold.png
97013018,1,3,0,0,1,403110,1,Money,90000,Money.png
97013019,1,3,0,0,7,403109,1,Money,10000,Money.png
97013020,1,3,0,0,15,0,5,Gold,50,Gold.png
97013021,1,3,0,0,7,403112,1,Money,45000,Money.png
97013022,1,3,0,0,7,403113,1,Money,49500,Money.png
97013023,1,3,0,0,8,0,1,Gold,50,Money.png
97013024,1,3,0,0,1,403215,1,Money,42000,Money.png
97013025,1,3,0,0,3,303005,20,Gold,50,Gold.png
97013026,1,3,0,0,6,950203,1,AdBlockTicket,1,AdBlockTicket.png
97013027,1,3,0,0,10,103101,1,Money,30000,Money.png
97013028,1,3,0,0,7,403114,1,Money,10000,Money.png
97013029,1,3,0,0,10,103201,1,Money,30000,Money.png
97013030,1,3,0,0,10,103301,1,Money,30000,Money.png
97013031,1,3,0,0,1,403213,1,Money,52500,Money.png
97013032,1,3,0,0,2,303007,1,Money,123000,Money.png
97013033,1,3,0,0,3,303007,20,Gold,100,Gold.png
97013034,1,3,0,0,6,950303,1,AdBlockTicket,2,Money.png
97013035,1,3,0,0,1,403211,1,Money,210000,Money.png
97013036,1,3,0,0,2,303008,1,Money,75000,Money.png
97013037,1,3,0,0,3,303008,20,Gold,100,Gold.png
97013038,1,3,0,0,7,403217,1,Money,211250,Money.png
97013039,1,3,0,0,7,403218,1,Money,360000,Money.png
97013040,1,3,0,0,6,950403,1,AdBlockTicket,3,AdBlockTicket.png
97013041,1,3,0,0,9,983305,15,Gold,1500,Gold.png
97020001,2,0,0,0,3,1,10,MissionPoint,20,0
97020002,2,0,0,0,15,0,1,MissionPoint,20,0
97020003,2,0,0,0,13,0,3,MissionPoint,20,0
97020004,2,0,0,0,8,0,1,MissionPoint,20,0
97020005,2,0,0,0,12,0,5,MissionPoint,20,0
97020006,2,0,0,0,6,950101,1,MissionPoint,10,0
97020007,2,0,0,0,11,0,1,MissionPoint,10,0
97030001,3,0,0,0,3,1,100,MissionPoint,20,0
97030002,3,0,0,0,15,0,10,MissionPoint,20,0
97030003,3,0,0,0,13,0,10,MissionPoint,20,0
97030004,3,0,0,0,8,0,10,MissionPoint,20,0
97030005,3,0,0,0,12,0,100,MissionPoint,20,0
97030006,3,0,0,0,11,0,10,MissionPoint,10,0
97030007,3,0,0,0,6,950101,5,MissionPoint,10,0
97000101,0,0,1,97000102,3,1,50,Gold,30,Gold.png
97000102,0,0,0,97000103,3,1,100,Gold,30,Gold.png
97000103,0,0,0,97000104,3,1,200,Gold,30,Gold.png
97000104,0,0,0,97000105,3,1,400,Gold,30,Gold.png
97000105,0,0,0,97000106,3,1,800,Gold,30,Gold.png
97000106,0,0,0,97000107,3,1,1600,Gold,30,Gold.png
97000107,0,0,0,97000108,3,1,2400,Gold,30,Gold.png
97000108,0,0,0,97000109,3,1,3200,Gold,30,Gold.png
97000109,0,0,0,97000110,3,1,4000,Gold,30,Gold.png
97000110,0,0,0,97000111,3,1,4800,Gold,30,Gold.png
97000111,0,0,0,97000112,3,1,5600,Gold,30,Gold.png
97000112,0,0,0,97000113,3,1,6400,Gold,30,Gold.png
97000113,0,0,0,97000114,3,1,7200,Gold,30,Gold.png
97000114,0,0,0,97000115,3,1,8000,Gold,30,Gold.png
97000115,0,0,0,97000116,3,1,8800,Gold,30,Gold.png
97000116,0,0,0,97000117,3,1,9600,Gold,30,Gold.png
97000117,0,0,0,97000118,3,1,10400,Gold,30,Gold.png
97000118,0,0,0,97000119,3,1,11200,Gold,30,Gold.png
97000119,0,0,0,97000120,3,1,12000,Gold,30,Gold.png
97000120,0,0,0,0,3,1,12800,Gold,30,Gold.png
97000201,0,0,1,97000202,14,0,10000,Gold,30,Gold.png
97000202,0,0,0,97000203,14,0,20000,Gold,30,Gold.png
97000203,0,0,0,97000204,14,0,40000,Gold,30,Gold.png
97000204,0,0,0,97000205,14,0,80000,Gold,30,Gold.png
97000205,0,0,0,97000206,14,0,160000,Gold,30,Gold.png
97000206,0,0,0,97000207,14,0,320000,Gold,30,Gold.png
97000207,0,0,0,97000208,14,0,640000,Gold,30,Gold.png
97000208,0,0,0,97000209,14,0,960000,Gold,30,Gold.png
97000209,0,0,0,97000210,14,0,1280000,Gold,30,Gold.png
97000210,0,0,0,97000211,14,0,1600000,Gold,30,Gold.png
97000211,0,0,0,97000212,14,0,1920000,Gold,30,Gold.png
97000212,0,0,0,97000213,14,0,2240000,Gold,30,Gold.png
97000213,0,0,0,97000214,14,0,2560000,Gold,30,Gold.png
97000214,0,0,0,97000215,14,0,2880000,Gold,30,Gold.png
97000215,0,0,0,97000216,14,0,3200000,Gold,30,Gold.png
97000216,0,0,0,97000217,14,0,3520000,Gold,30,Gold.png
97000217,0,0,0,97000218,14,0,3840000,Gold,30,Gold.png
97000218,0,0,0,97000219,14,0,4160000,Gold,30,Gold.png
97000219,0,0,0,97000220,14,0,4480000,Gold,30,Gold.png
97000220,0,0,0,0,14,0,4800000,Gold,30,Gold.png
97000301,0,0,1,97000302,6,1,5,AdBlockTicket,1,AdBlockTicket.png
97000302,0,0,0,97000303,6,1,15,AdBlockTicket,1,AdBlockTicket.png
97000303,0,0,0,97000304,6,1,30,AdBlockTicket,1,AdBlockTicket.png
97000304,0,0,0,97000305,6,1,60,AdBlockTicket,1,AdBlockTicket.png
97000305,0,0,0,97000306,6,1,120,AdBlockTicket,1,AdBlockTicket.png
97000306,0,0,0,97000307,6,1,240,AdBlockTicket,1,AdBlockTicket.png
97000307,0,0,0,97000308,6,1,480,AdBlockTicket,1,AdBlockTicket.png
97000308,0,0,0,97000309,6,1,960,AdBlockTicket,2,AdBlockTicket.png
97000309,0,0,0,97000310,6,1,1440,AdBlockTicket,2,AdBlockTicket.png
97000310,0,0,0,97000311,6,1,1920,AdBlockTicket,2,AdBlockTicket.png
97000311,0,0,0,97000312,6,1,2400,AdBlockTicket,2,AdBlockTicket.png
97000312,0,0,0,97000313,6,1,2880,AdBlockTicket,2,AdBlockTicket.png
97000313,0,0,0,97000314,6,1,3360,AdBlockTicket,2,AdBlockTicket.png
97000314,0,0,0,97000315,6,1,3840,AdBlockTicket,2,AdBlockTicket.png
97000315,0,0,0,97000316,6,1,4320,AdBlockTicket,3,AdBlockTicket.png
97000316,0,0,0,97000317,6,1,4800,AdBlockTicket,3,AdBlockTicket.png
97000317,0,0,0,97000318,6,1,5280,AdBlockTicket,3,AdBlockTicket.png
97000318,0,0,0,97000319,6,1,5760,AdBlockTicket,3,AdBlockTicket.png
97000319,0,0,0,97000320,6,1,6240,AdBlockTicket,3,AdBlockTicket.png
97000320,0,0,0,0,6,1,6720,AdBlockTicket,3,AdBlockTicket.png
97000401,0,0,1,97000402,15,0,1,Gold,30,Gold.png
97000402,0,0,0,97000403,15,0,5,Gold,30,Gold.png
97000403,0,0,0,97000404,15,0,10,Gold,30,Gold.png
97000404,0,0,0,97000405,15,0,20,Gold,30,Gold.png
97000405,0,0,0,97000406,15,0,40,Gold,30,Gold.png
97000406,0,0,0,97000407,15,0,80,Gold,30,Gold.png
97000407,0,0,0,97000408,15,0,160,Gold,30,Gold.png
97000408,0,0,0,97000409,15,0,240,Gold,30,Gold.png
97000409,0,0,0,97000410,15,0,320,Gold,30,Gold.png
97000410,0,0,0,97000411,15,0,400,Gold,30,Gold.png
97000411,0,0,0,97000412,15,0,480,Gold,30,Gold.png
97000412,0,0,0,97000413,15,0,560,Gold,30,Gold.png
97000413,0,0,0,97000414,15,0,640,Gold,30,Gold.png
97000414,0,0,0,97000415,15,0,720,Gold,30,Gold.png
97000415,0,0,0,97000416,15,0,800,Gold,30,Gold.png
97000416,0,0,0,97000417,15,0,880,Gold,30,Gold.png
97000417,0,0,0,97000418,15,0,960,Gold,30,Gold.png
97000418,0,0,0,97000419,15,0,1040,Gold,30,Gold.png
97000419,0,0,0,97000420,15,0,1120,Gold,30,Gold.png
97000420,0,0,0,0,15,0,1200,Gold,30,Gold.png
97000501,0,0,1,97000502,8,0,1,RankPoint,100,RankPoint.png
97000502,0,0,0,97000503,8,0,3,RankPoint,100,RankPoint.png
97000503,0,0,0,97000504,8,0,5,RankPoint,100,RankPoint.png
97000504,0,0,0,97000505,8,0,10,RankPoint,100,RankPoint.png
97000505,0,0,0,97000506,8,0,15,RankPoint,100,RankPoint.png
97000506,0,0,0,97000507,8,0,30,RankPoint,100,RankPoint.png
97000507,0,0,0,97000508,8,0,45,RankPoint,100,RankPoint.png
97000508,0,0,0,97000509,8,0,60,RankPoint,100,RankPoint.png
97000509,0,0,0,97000510,8,0,75,RankPoint,100,RankPoint.png
97000510,0,0,0,97000511,8,0,90,RankPoint,100,RankPoint.png
97000511,0,0,0,97000512,8,0,105,RankPoint,100,RankPoint.png
97000512,0,0,0,97000513,8,0,120,RankPoint,100,RankPoint.png
97000513,0,0,0,97000514,8,0,135,RankPoint,100,RankPoint.png
97000514,0,0,0,97000515,8,0,150,RankPoint,100,RankPoint.png
97000515,0,0,0,97000516,8,0,165,RankPoint,100,RankPoint.png
97000516,0,0,0,97000517,8,0,180,RankPoint,100,RankPoint.png
97000517,0,0,0,97000518,8,0,195,RankPoint,100,RankPoint.png
97000518,0,0,0,97000519,8,0,210,RankPoint,100,RankPoint.png
97000519,0,0,0,97000520,8,0,225,RankPoint,100,RankPoint.png
97000520,0,0,0,0,8,0,240,RankPoint,100,RankPoint.png
97000601,0,0,1,97000602,8,0,1,RankPoint,100,RankPoint.png
97000602,0,0,0,97000603,8,0,3,RankPoint,100,RankPoint.png
97000603,0,0,0,97000604,8,0,5,RankPoint,100,RankPoint.png
97000604,0,0,0,97000605,8,0,10,RankPoint,100,RankPoint.png
97000605,0,0,0,97000606,8,0,15,RankPoint,100,RankPoint.png
97000606,0,0,0,97000607,8,0,30,RankPoint,100,RankPoint.png
97000607,0,0,0,97000608,8,0,45,RankPoint,100,RankPoint.png
97000608,0,0,0,97000609,8,0,60,RankPoint,100,RankPoint.png
97000609,0,0,0,97000610,8,0,75,RankPoint,100,RankPoint.png
97000610,0,0,0,97000611,8,0,90,RankPoint,100,RankPoint.png
97000611,0,0,0,97000612,8,0,105,RankPoint,100,RankPoint.png
97000612,0,0,0,97000613,8,0,120,RankPoint,100,RankPoint.png
97000613,0,0,0,97000614,8,0,135,RankPoint,100,RankPoint.png
97000614,0,0,0,97000615,8,0,150,RankPoint,100,RankPoint.png
97000615,0,0,0,97000616,8,0,165,RankPoint,100,RankPoint.png
97000616,0,0,0,97000617,8,0,180,RankPoint,100,RankPoint.png
97000617,0,0,0,97000618,8,0,195,RankPoint,100,RankPoint.png
97000618,0,0,0,97000619,8,0,210,RankPoint,100,RankPoint.png
97000619,0,0,0,97000620,8,0,225,RankPoint,100,RankPoint.png
97000620,0,0,0,0,8,0,240,RankPoint,100,RankPoint.png
97000701,0,0,1,97000702,17,0,1,AdBlockTicket,1,AdBlockTicket.png
97000702,0,0,0,97000703,17,0,5,AdBlockTicket,1,AdBlockTicket.png
97000703,0,0,0,97000704,17,0,10,AdBlockTicket,1,AdBlockTicket.png
97000704,0,0,0,97000705,17,0,20,AdBlockTicket,1,AdBlockTicket.png
97000705,0,0,0,97000706,17,0,40,AdBlockTicket,1,AdBlockTicket.png
97000706,0,0,0,97000707,17,0,80,AdBlockTicket,1,AdBlockTicket.png
97000707,0,0,0,97000708,17,0,120,AdBlockTicket,1,AdBlockTicket.png
97000708,0,0,0,97000709,17,0,160,AdBlockTicket,1,AdBlockTicket.png
97000709,0,0,0,97000710,17,0,200,AdBlockTicket,2,AdBlockTicket.png
97000710,0,0,0,97000711,17,0,240,AdBlockTicket,2,AdBlockTicket.png
97000711,0,0,0,97000712,17,0,280,AdBlockTicket,2,AdBlockTicket.png
97000712,0,0,0,97000713,17,0,320,AdBlockTicket,2,AdBlockTicket.png
97000713,0,0,0,97000714,17,0,360,AdBlockTicket,2,AdBlockTicket.png
97000714,0,0,0,97000715,17,0,400,AdBlockTicket,2,AdBlockTicket.png
97000715,0,0,0,97000716,17,0,440,AdBlockTicket,2,AdBlockTicket.png
97000716,0,0,0,97000717,17,0,480,AdBlockTicket,3,AdBlockTicket.png
97000717,0,0,0,97000718,17,0,520,AdBlockTicket,3,AdBlockTicket.png
97000718,0,0,0,97000719,17,0,560,AdBlockTicket,3,AdBlockTicket.png
97000719,0,0,0,97000720,17,0,600,AdBlockTicket,3,AdBlockTicket.png
97000720,0,0,0,0,17,0,640,AdBlockTicket,3,AdBlockTicket.png
97000801,0,0,1,97000802,16,0,1,AdBlockTicket,1,AdBlockTicket.png
97000802,0,0,0,97000803,16,0,5,AdBlockTicket,1,AdBlockTicket.png
97000803,0,0,0,97000804,16,0,10,AdBlockTicket,1,AdBlockTicket.png
97000804,0,0,0,97000805,16,0,20,AdBlockTicket,1,AdBlockTicket.png
97000805,0,0,0,97000806,16,0,40,AdBlockTicket,1,AdBlockTicket.png
97000806,0,0,0,97000807,16,0,80,AdBlockTicket,1,AdBlockTicket.png
97000807,0,0,0,97000808,16,0,120,AdBlockTicket,1,AdBlockTicket.png
97000808,0,0,0,97000809,16,0,160,AdBlockTicket,1,AdBlockTicket.png
97000809,0,0,0,97000810,16,0,200,AdBlockTicket,2,AdBlockTicket.png
97000810,0,0,0,97000811,16,0,240,AdBlockTicket,2,AdBlockTicket.png
97000811,0,0,0,97000812,16,0,280,AdBlockTicket,2,AdBlockTicket.png
97000812,0,0,0,97000813,16,0,320,AdBlockTicket,2,AdBlockTicket.png
97000813,0,0,0,97000814,16,0,360,AdBlockTicket,2,AdBlockTicket.png
97000814,0,0,0,97000815,16,0,400,AdBlockTicket,2,AdBlockTicket.png
97000815,0,0,0,97000816,16,0,440,AdBlockTicket,2,AdBlockTicket.png
97000816,0,0,0,97000817,16,0,480,AdBlockTicket,3,AdBlockTicket.png
97000817,0,0,0,97000818,16,0,520,AdBlockTicket,3,AdBlockTicket.png
97000818,0,0,0,97000819,16,0,560,AdBlockTicket,3,AdBlockTicket.png
97000819,0,0,0,97000820,16,0,600,AdBlockTicket,3,AdBlockTicket.png
97000820,0,0,0,0,16,0,640,AdBlockTicket,3,AdBlockTicket.png
97000901,0,0,1,97000902,11,0,10,RankPoint,100,RankPoint.png
97000902,0,0,0,97000903,11,0,30,RankPoint,100,RankPoint.png
97000903,0,0,0,97000904,11,0,50,RankPoint,100,RankPoint.png
97000904,0,0,0,97000905,11,0,100,RankPoint,100,RankPoint.png
97000905,0,0,0,97000906,11,0,200,RankPoint,100,RankPoint.png
97000906,0,0,0,97000907,11,0,300,RankPoint,100,RankPoint.png
97000907,0,0,0,97000908,11,0,500,RankPoint,100,RankPoint.png
97000908,0,0,0,97000909,11,0,1000,RankPoint,100,RankPoint.png
97000909,0,0,0,97000910,11,0,1500,RankPoint,100,RankPoint.png
97000910,0,0,0,97000911,11,0,2000,RankPoint,100,RankPoint.png
97000911,0,0,0,97000912,11,0,2500,RankPoint,100,RankPoint.png
97000912,0,0,0,97000913,11,0,3000,RankPoint,100,RankPoint.png
97000913,0,0,0,97000914,11,0,3500,RankPoint,100,RankPoint.png
97000914,0,0,0,97000915,11,0,4000,RankPoint,100,RankPoint.png
97000915,0,0,0,97000916,11,0,4500,RankPoint,100,RankPoint.png
97000916,0,0,0,97000917,11,0,5000,RankPoint,100,RankPoint.png
97000917,0,0,0,97000918,11,0,5500,RankPoint,100,RankPoint.png
97000918,0,0,0,97000919,11,0,6000,RankPoint,100,RankPoint.png
97000919,0,0,0,97000920,11,0,6500,RankPoint,100,RankPoint.png
97000920,0,0,0,0,11,0,7000,RankPoint,100,RankPoint.png
